LOAN_ID,CUSTOMER_ID,AGE,GENDER,STATE,OCCUPATION,MONTHLY_INCOME,LOAN_PRODUCT,LOAN_AMOUNT,SANCTION_AMOUNT,LOAN_TENURE,INTEREST_RATE,EMI_AMOUNT,BUREAU_SCORE,VINTAGE_MONTHS,CURRENT_DPD,MAX_DPD,OUTSTANDING_BALANCE,COLLECTION_BUCKET,LOAN_STATUS,DEFAULT_FLAG,WRITE_OFF_FLAG,DISBURSAL_DATE,LAST_PAYMENT_DATE,FOIR,EMI_INCOME_RATIO,CREDIT_UTILIZATION,IS_DELINQUENT
LN0000694,CUST000246,45,Female,Karnataka,Self Employed,74986.0,Home Loan,3900420,3025548,180,14.46,41231.8,659.0,71,75,75,421799,61-90,Delinquent,0,0,2022-06-28,2028-01-21,0.5498599738617875,54.98599738617875,0.13941243040930107,1
LN0000625,CUST000410,31,Male,Uttar Pradesh,Self Employed,31371.0,Vehicle Loan,152761,132229,48,10.02,3354.94,729.0,57,0,150,64869,Current,Active,0,0,2022-06-12,2027-01-15,0.10694399285964745,10.694399285964746,0.4905807349371167,0
LN0000988,CUST000675,38,Female,Telangana,Professional,101300.0,MSME Loan,2334952,1618191,36,12.59,54204.24,685.0,63,7,60,987293,1-30,Active,0,0,2022-12-11,2028-01-16,0.5350862783810464,53.50862783810464,0.6101214257155058,1
LN0000394,CUST000491,21,Male,Tamil Nadu,Salaried,72671.0,Personal Loan,360508,314620,24,14.6,15195.14,786.0,8,0,150,54570,Current,Active,0,0,2024-09-01,2025-03-19,0.20909496222702315,20.909496222702316,0.17344733329095416,0
LN0000588,CUST000225,38,Male,Madhya Pradesh,Salaried,50793.0,Consumer Durable Loan,19717,13765,24,8.5,625.7,615.0,58,30,30,6247,1-30,Active,0,0,2023-10-11,2028-05-28,0.012318626582403088,1.231862658240309,0.45383218307301126,1
LN0000939,CUST000573,60,Female,Madhya Pradesh,Professional,47435.0,Home Loan,3642525,3510450,180,21.67,66027.04,753.0,61,15,90,1673412,1-30,Active,0,0,2020-08-09,2025-06-24,1.0,139.19477179297985,0.4766944408836474,1
LN0000531,CUST000450,48,Female,Rajasthan,Salaried,115858.0,MSME Loan,99999999,573513,24,16.82,28306.2,752.0,3,15,90,461737,1-30,Active,0,0,2021-08-27,2021-10-27,0.24431804450275338,24.431804450275337,0.8051029357660594,1
LN0000002,CUST000571,55,Male,West Bengal,Self Employed,105514.0,Home Loan,7373952,5728370,180,14.08,76595.21,702.0,37,120,120,4956047,90+,Delinquent,1,1,2024-04-05,2026-12-04,0.7259246166385503,72.59246166385503,0.8651757829888782,1
LN0000431,CUST000564,40,Female,Maharashtra,Self Employed,17556.0,Home Loan,4030631,3437234,240,16.68,49582.65,775.0,2,0,60,1381315,Current,Active,0,0,2021-01-16,2021-03-09,1.0,282.42566643882435,0.4018681882001633,0
LN0000058,CUST000071,42,Male,Karnataka,Self Employed,36231.0,Vehicle Loan,765156,575988,24,9.73,26507.2,652.0,65,0,0,293726,Current,Active,0,0,2025-10-03,2031-01-09,0.7316165714443432,73.16165714443432,0.50995159621381,0
LN0000708,CUST000037,48,male,Rajasthan,Self Employed,45606.0,MSME Loan,443103,374872,24,16.81,18500.31,751.0,47,30,30,337745,1-30,Active,0,0,2022-05-31,2026-02-16,0.4056551769504013,40.56551769504013,0.9009608613073262,1
LN0000631,CUST000221,47,Male,Rajasthan,Business,43130.0,Personal Loan,557695,512317,18,4.5,31975.26,798.0,33,0,45,205139,Current,Active,0,0,2024-04-11,2026-11-17,0.7413693484813355,74.13693484813355,0.4004141966790093,0
LN0000033,CUST000377,33,Female,Rajasthan,Salaried,71276.0,Personal Loan,399534,343726,12,16.15,31210.96,741.0,16,0,150,207283,Current,Active,0,0,2021-05-15,2022-08-12,0.43788877041360347,43.788877041360344,0.6030471945677662,0
LN0000739,CUST000028,37,male,Uttar Pradesh,Salaried,22258.0,Home Loan,1200000,792604,240,8.5,6878.4,602.0,50,60,60,432005,31-60,Delinquent,0,0,2022-04-18,2026-03-15,0.30903046095785786,30.903046095785786,0.5450451928075054,1
LN0000674,CUST000343,43,Female,Madhya Pradesh,Salaried,48895.0,Personal Loan,404888,322641,18,21.59,21142.69,745.0,58,0,90,290651,Current,Active,0,0,2024-11-13,2029-07-31,0.4324100623785663,43.241006237856624,0.9008495510489988,0
LN0000644,CUST000602,37,Male,Madhya Pradesh,Professional,34402.0,Consumer Durable Loan,92620,87382,12,15.58,7910.89,791.0,57,0,90,49332,Current,Active,0,0,2020-07-17,2025-03-02,0.22995436311842335,22.995436311842337,0.5645556293058067,0
LN0000315,CUST000027,33,Male,Telangana,Professional,50297.0,Home Loan,5914489,4854304,240,17.02,71276.8,766.0,35,0,45,4278584,Current,Active,0,0,2023-03-27,2023-02-01,1.0,141.71183171958566,0.8814000936076521,0
LN0000219,CUST000216,61,Female,Maharashtra,Self Employed,82686.0,Vehicle Loan,1141699,714044,36,12.88,24017.71,622.0,68,7,60,140777,1-30,Active,0,0,2021-05-18,2026-12-03,0.29046888227753187,29.046888227753186,0.19715451708858278,1
LN0000840,CUST000508,35,Male,Uttar Pradesh,Salaried,88587.0,Home Loan,6862862,4783906,120,10.29,63990.41,679.0,69,0,60,3975726,Current,Active,0,0,2021-06-21,2027-02-09,0.7223453779899985,72.23453779899985,0.8310627340921832,0
LN0000982,CUST000159,50,F,Delhi,SALARIED,18985.0,Home,5283110,4586896,300,13.63,53920.18,725.0,21,0,15,4090967,Current,Active,0,0,2025-04-28,2027-01-15,1.0,284.0146431393205,0.8918813506999068,0
LN0000827,CUST000244,35,Male,Rajasthan,Salaried,57003.0,Home Loan,4671786,3791684,240,15.66,51787.22,667.0,15,0,75,534885,Current,Active,0,0,2022-02-08,2023-04-11,0.9084999035138501,90.84999035138502,0.1410679265466215,0
LN0000559,CUST000380,30,Female,Rajasthan,Professional,26577.0,Consumer Durable Loan,100556,89388,9,11.65,10420.33,819.0,69,45,45,37580,31-60,Delinquent,0,0,2022-02-04,2027-07-24,0.39208074651014035,39.20807465101404,0.4204143732939544,1
LN0000311,CUST000676,61,Female,Gujarat,Salaried,88088.0,Consumer Durable Loan,73374,65536,24,9.33,3003.93,738.0,48,45,45,44896,31-60,Delinquent,0,0,2021-09-06,2025-06-08,0.03410146671510308,3.410146671510308,0.68505859375,1
LN0000293,CUST000442,38,Male,Tamil Nadu,Salaried,75591.0,Consumer Durable Loan,10000,10000,24,19.58,506.91,705.0,1,45,60,7307,31-60,Delinquent,0,0,2025-10-22,2025-08-26,0.006705957058379966,0.6705957058379965,0.7307,1
LN0000002,CUST000571,55,Male,West Bengal,Self Employed,105514.0,Home Loan,7373952,5728370,180,14.08,76595.21,702.0,37,120,120,4956047,90+,Delinquent,1,1,2024-04-05,2026-12-04,0.7259246166385503,72.59246166385503,0.8651757829888782,1
LN0000396,CUST000512,33,Female,Telangana,Salaried,66958.0,Vehicle Loan,1118647,898172,60,16.98,22312.23,721.0,13,30,45,262376,1-30,Active,0,0,2023-05-08,2024-03-19,0.33322724693091194,33.322724693091196,0.29212222157894036,1
LN0000177,CUST000581,40,Male,Karnataka,Salaried,,MSME Loan,1535373,1146400,48,18.08,33723.44,598.0,60,0,120,864878,Current,Active,0,0,2020-03-28,2025-02-12,,,0.7544295184926727,0
LN0000019,CUST000056,31,Female,Delhi,Salaried,56474.0,Consumer Durable Loan,111101,80595,12,18.55,7410.06,654.0,29,0,45,31542,Current,Active,0,0,2026-01-03,2028-04-08,0.1312118851152743,13.121188511527428,0.3913642285501582,0
LN0000541,CUST000289,21,Female,Rajasthan,Salaried,106927.0,Vehicle Loan,249782,213093,60,17.74,5381.07,719.0,59,15,30,93012,1-30,Active,0,0,2021-03-27,2026-01-05,0.05032470751073162,5.032470751073162,0.43648547817150257,1
LN0000288,CUST000502,41,Female,Delhi,Business,55778.0,MSME Loan,1656954,1255482,24,21.85,65039.13,700.0,38,0,75,893416,Current,Active,0,0,2024-04-03,2027-05-01,1.0,116.60355337229731,0.7116119546118542,0
LN0000268,CUST000116,56,Male,Gujarat,Business,59763.0,Vehicle Loan,1386971,1081223,36,4.5,36555.79,689.0,38,7,60,453693,1-30,Active,0,0,2021-03-01,2024-03-21,0.6116792999012767,61.16792999012767,0.4196109405737762,1
LN0000533,CUST000228,28,Female,Madhya Pradesh,Salaried,83051.0,Personal Loan,634919,414520,60,11.99,9218.67,643.0,16,15,75,344645,1-30,Active,0,0,2022-05-23,2023-08-16,0.1110001083671479,11.10001083671479,0.8314315352697096,1
LN0000771,CUST000433,50,Female,Telangana,Business,59664.0,Consumer Durable Loan,26551,18594,12,19.03,1713.83,618.0,21,0,150,12841,Current,Active,0,0,2021-10-12,2023-06-01,0.028724691606328772,2.8724691606328774,0.6905991179950521,0
LN0000518,CUST000587,36,Male,Telangana,Self Employed,58471.0,MSME Loan,811048,651884,48,14.61,18013.81,,58,0,30,265570,Current,Active,0,0,2020-02-02,2024-10-25,0.3080811000324948,30.808110003249478,0.40738843107055855,0
LN0000712,CUST000119,27,Male,Tamil Nadu,Salaried,,Consumer Durable Loan,96481,79521,6,31.0,13914.0,732.0,38,0,45,9844,Current,Active,0,0,2025-03-28,2028-04-29,,,0.12379119980885553,0
LN0000386,CUST000203,38,Male,Karnataka,Salaried,155196.0,Home Loan,5622797,0,120,9.08,52216.93,686.0,9,0,120,2722243,Current,Active,0,0,2023-09-17,2024-05-02,0.3364579628340937,33.64579628340937,0.0,0
LN0000878,CUST000667,41,Male,Delhi,Salaried,52530.0,Personal Loan,258631,187789,60,21.59,5142.85,644.0,63,60,60,66841,31-60,Delinquent,0,0,2020-07-17,2025-06-16,0.09790310298876832,9.790310298876832,0.3559367162080846,1
LN0000938,CUST000365,58,Female,Gujarat,Salaried,27256.0,Personal Loan,55917,48444,24,16.75,2389.37,745.0,19,0,120,22365,Current,Active,0,0,2022-03-19,2023-10-06,0.08766400058702671,8.76640005870267,0.461667079514491,0
LN0000603,CUST000234,30,Female,Madhya Pradesh,Salaried,43344.0,Consumer Durable Loan,98518,80310,12,11.25,7107.3,722.0,18,0,15,40133,Current,Active,0,0,2020-04-21,2021-09-14,0.16397425249169437,16.397425249169437,0.4997260615116424,0
LN0000554,CUST000116,45,Female,Rajasthan,Self Employed,46964.0,Personal Loan,621236,574352,48,16.16,16324.4,834.0,24,0,15,179088,Current,Active,0,0,2020-06-14,2022-06-02,0.3475939017119496,34.75939017119496,0.31180878624954733,0
LN0000224,CUST000062,44,Female,Telangana,Salaried,67907.0,Personal Loan,169547,119368,36,16.1,4202.52,622.0,12,0,0,60938,Current,Active,0,0,2023-09-06,2024-07-25,0.06188640346356047,6.188640346356046,0.5105053280611219,0
LN0000881,CUST000238,37,female,Telangana,salaried,35091.0,PL,439513,363773,36,14.27,12480.66,735.0,15,0,90,330666,Current,Active,0,0,2022-03-23,2023-05-23,0.3556655552705822,35.56655552705822,0.9089899470274044,0
LN0000421,CUST000386,26,Female,West Bengal,Self Employed,44145.0,MSME Loan,2199448,1647162,24,8.5,74872.86,740.0,51,45,45,784430,31-60,Delinquent,0,0,2020-05-05,2024-05-08,1.0,169.60665987088007,0.4762312389431034,1
LN0000910,CUST000001,33,Female,Telangana,Business,66030.0,Consumer Durable Loan,75084,55473,18,15.32,3469.03,684.0,48,0,120,42246,Current,Active,0,0,2023-04-24,2027-04-01,0.052537180069665304,5.253718006966531,0.761559677681034,0
LN0000330,CUST000536,31,Male,Tamil Nadu,Business,72032.0,Vehicle Loan,1297762,1191966,24,8.85,54372.66,850.0,24,30,30,461313,1-30,Active,0,0,2024-04-02,2026-01-07,0.754840348733896,75.4840348733896,0.38701858945641066,1
LN0000269,CUST000113,22,Male,Madhya Pradesh,Salaried,47552.0,Vehicle Loan,1098165,700748,60,11.97,15577.13,612.0,31,-15,150,383665,Current,Active,0,0,2025-12-26,2028-06-12,0.3275809639973082,32.75809639973082,0.547507805944505,0
LN0000894,CUST000149,29,Male,Tamil Nadu,Salaried,42565.0,Vehicle Loan,1161451,880581,48,9.41,22085.13,712.0,53,7,90,514879,1-30,Active,0,0,2024-04-30,2028-08-12,0.5188565723011864,51.88565723011864,0.5847037353747129,1
LN0000116,CUST000270,47,Male,Uttar Pradesh,SALARIED,136453.0,Personal,287999,225643,36,20.12,8399.51,651.0,19,7,75,183813,1-30,Active,0,0,2024-10-20,2026-04-26,0.06155606692414238,6.155606692414238,0.8146186675412045,1
LN0000825,CUST000664,30,Male,Rajasthan,Self Employed,,Consumer Durable Loan,101584,77669,12,16.81,7076.78,674.0,13,0,0,63995,Current,Active,0,0,2022-08-17,2023-08-19,,,0.823945203362989,0
LN0000952,CUST000372,56,Female,Uttar Pradesh,Self Employed,76690.0,Home Loan,5753838,5634396,180,8.7,56146.65,834.0,72,30,30,2852184,1-30,Active,0,0,2024-03-12,2029-12-17,0.7321247881079671,73.21247881079671,0.5062093612163575,1
LN0000316,CUST000444,45,Female,Gujarat,Business,59603.0,Personal Loan,852109,594263,12,8.5,51831.49,669.0,55,0,15,513129,Current,Active,0,0,2023-02-14,2027-07-11,0.8696121000620773,86.96121000620774,0.8634712240203412,0
LN0000700,CUST000107,36,Female,Telangana,Salaried,71742.0,Personal Loan,273905,191711,24,8.5,8714.35,676.0,29,0,90,130318,Current,Active,0,0,2025-04-03,2027-07-23,0.12146789885980319,12.146789885980319,0.6797627679162906,0
LN0000921,CUST000077,47,F,Delhi,SALARIED,47324.0,Vehicle,661573,527753,60,17.14,13155.78,671.0,54,0,60,103860,Current,Active,0,0,2022-11-18,2027-03-19,0.2779938297692503,27.79938297692503,0.19679660750388914,0
LN0000388,CUST000044,36,Male,Telangana,Salaried,34535.0,MSME Loan,1665214,1658654,60,18.31,42399.12,836.0,1,90,90,653214,61-90,Delinquent,1,0,2024-01-20,2023-10-08,1.0,122.77144925437962,0.3938217373846504,1
LN0000915,CUST000278,37,Female,Karnataka,Salaried,60363.0,Personal Loan,235858,199747,60,16.7,4932.06,,4,0,60,146256,Current,Active,0,0,2020-12-02,2021-03-16,0.08170667461855773,8.170667461855773,0.7322062408947319,0
LN0000924,CUST000606,32,Female,Uttar Pradesh,Salaried,93892.0,Vehicle Loan,886298,823210,60,21.84,22661.34,752.0,52,0,90,458412,Current,Active,0,0,2024-07-22,2028-09-27,0.24135538704042944,24.135538704042943,0.556859124646202,0
LN0000489,CUST000517,21,Male,Gujarat,Self Employed,49346.0,Vehicle Loan,771320,527009,24,14.87,25520.36,680.0,69,0,120,208363,Current,Active,0,0,2021-01-18,2026-09-08,0.517171807238682,51.717180723868196,0.3953689595433854,0
LN0000969,CUST000041,36,Female,Gujarat,Business,41872.0,Home Loan,6388769,4693570,180,12.77,58676.48,628.0,29,7,75,3385996,1-30,Active,0,0,2022-06-18,2024-09-23,1.0,140.13297669086742,0.7214116333622381,1
LN0000457,CUST000627,21,Male,Gujarat,Salaried,,Vehicle Loan,423490,311454,36,11.78,10312.03,585.0,34,7,7,266289,1-30,Active,0,0,2021-11-03,2024-07-13,,,0.8549866111849583,1
LN0000940,CUST000695,38,Female,Gujarat,Self Employed,33473.0,Home Loan,3706490,3239677,180,11.09,37005.37,796.0,67,7,150,3128422,1-30,Active,0,0,2023-12-05,2029-04-19,1.0,110.55289337675143,0.9656586134975802,1
LN0000682,CUST000403,23,Female,West Bengal,Permanent Employee,84216.0,VL,590504,456280,48,13.0,12240.85,709.0,49,0,30,171614,Current,Active,0,0,2023-10-19,2027-09-28,0.14535064595801273,14.535064595801273,0.37611554308757783,0
LN0000262,CUST000207,36,Male,Gujarat,Self Employed,68877.0,Vehicle Loan,998884,837474,48,10.14,21296.86,704.0,30,15,45,521345,1-30,Active,0,0,2020-12-23,2023-05-21,0.30920132990693555,30.920132990693556,0.6225208185567552,1
LN0000933,CUST000530,21,Female,Delhi,Salaried,47607.0,Personal Loan,791712,545033,24,31.0,28243.02,686.0,23,15,45,498692,1-30,Active,0,0,2020-04-15,2022-02-12,0.5932535131388241,59.325351313882415,0.9149757904567246,1
LN0000574,CUST000544,41,Male,Delhi,Self Employed,87061.0,Vehicle Loan,1457491,1256338,24,10.95,58526.04,712.0,40,0,90,172342,Current,Active,0,0,2021-05-12,2024-08-17,0.6722417615235294,67.22417615235294,0.13717805240309536,0
LN0000016,CUST000111,32,Female,Telangana,SALARIED,81313.0,HL,5354889,3977436,300,16.77,56462.86,709.0,69,0,75,1244265,Current,Active,0,0,2020-10-08,2026-04-29,0.6943890890755475,69.43890890755475,0.3128309292720235,0
LN0000600,CUST000161,32,Female,Madhya Pradesh,Business,31059.0,Personal Loan,161453,120279,36,4.5,3992.11,677.0,15,0,75,86529,Current,Active,0,0,2021-08-04,2022-10-23,0.12853311439518336,12.853311439518336,0.7194023894445415,0
LN0000905,CUST000050,24,Male,Maharashtra,Salaried,52316.0,Vehicle Loan,125474,112346,60,18.62,2890.88,762.0,49,0,15,80196,Current,Active,0,0,2022-01-12,2025-12-26,0.05525804725131891,5.5258047251318905,0.7138304879568476,0
LN0000886,CUST000350,51,Female,Telangana,Self Employed,35025.0,Home Loan,2276685,1597954,180,18.45,26252.81,679.0,69,0,45,856053,Current,Active,0,0,2025-12-30,2031-08-01,0.7495448965024982,74.95448965024983,0.53571817461579,0
LN0000267,CUST000631,41,Female,Karnataka,Business,40726.0,PL,590540,412122,48,10.21,10494.09,667.0,5,0,60,85806,Current,Active,0,0,2024-08-28,2025-01-16,0.25767544075038057,25.767544075038057,0.2082053372545023,0
LN0000441,CUST000595,60,Male,Madhya Pradesh,Business,67128.0,Personal Loan,305118,222100,36,17.57,7981.62,605.0,35,0,45,203564,Current,Active,0,0,2020-03-23,2023-01-25,0.11890150160886664,11.890150160886664,0.9165420981539847,0
LN0000011,CUST000128,27,Female,Rajasthan,Salaried,55417.0,Home Loan,7671628,0,240,14.5,88196.65,749.0,22,7,60,1053546,1-30,Active,0,0,2024-11-14,2026-08-07,1.0,159.1508923254597,0.0,1
LN0000153,CUST000363,40,Female,Telangana,Business,34643.0,Vehicle Loan,559321,489879,24,13.03,23296.64,737.0,61,75,75,330796,61-90,Delinquent,0,0,2025-05-26,2030-03-07,0.6724775567935802,67.24775567935802,0.6752606255830521,1
LN0000724,CUST000651,46,Male,Telangana,Salaried,64125.0,Home Loan,7150911,5995413,180,17.63,94959.66,717.0,15,7,7,2701652,1-30,Active,0,0,2020-06-20,2021-09-06,1.0,148.08523976608188,0.4506198321950464,1
LN0000857,CUST000588,37,Female,Telangana,Salaried,80342.0,Consumer Durable Loan,174450,125886,12,13.2,11255.61,685.0,51,0,75,99394,Current,Active,0,0,2022-05-15,2026-06-25,0.14009621368649025,14.009621368649025,0.7895556296967097,0
LN0000523,CUST000202,65,Female,Karnataka,Self Employed,93318.0,MSME Loan,2071034,2014560,24,19.07,101619.71,793.0,35,75,75,621199,61-90,Delinquent,0,0,2021-06-21,2024-02-13,1.0,108.89615079620224,0.30835467794456356,1
LN0000251,CUST000543,41,Female,Karnataka,Salaried,65311.0,Personal Loan,50000,48016,12,18.98,4424.53,797.0,28,0,120,17065,Current,Active,0,0,2021-01-22,2023-04-05,0.0677455558787953,6.77455558787953,0.35540236587804064,0
LN0000936,CUST000121,33,Male,Telangana,Salaried,42937.0,Home Loan,7258502,5691646,240,18.11,88321.95,664.0,26,0,75,3171049,Current,Active,0,0,2020-11-14,2022-12-31,1.0,205.70125998556023,0.557140939545432,0
LN0000119,CUST000587,21,Female,West Bengal,Salaried,52318.0,Vehicle Loan,1209874,915430,36,16.21,32278.79,652.0,35,0,30,233734,Current,Active,0,0,2021-04-29,2024-02-01,0.616972934745212,61.697293474521196,0.25532700479556053,0
LN0000096,CUST000616,34,Female,Delhi,Self Employed,42509.0,Personal Loan,755110,484454,36,13.37,16409.64,642.0,33,30,30,176903,1-30,Active,0,0,2024-05-02,2026-12-15,0.3860274294855207,38.60274294855207,0.36515954043108323,1
LN0000088,CUST000114,43,Male,Gujarat,Self Employed,,Personal Loan,50000,48563,18,9.27,2900.26,790.0,69,0,120,7413,Current,Active,0,0,2020-08-18,2026-04-05,,,0.15264707699277227,0
LN0000995,CUST000369,44,Female,Telangana,Business,46983.0,Home Loan,1200000,983009,240,14.02,12238.2,749.0,49,0,45,903382,Current,Active,0,0,2022-04-04,2026-03-08,0.2604814507375008,26.048145073750078,0.9189966724617984,0
LN0000634,CUST000258,43,Male,Tamil Nadu,Salaried,50557.0,Vehicle Loan,1160735,1005670,60,22.39,27998.97,789.0,19,7,150,335125,1-30,Active,0,0,2023-08-06,2025-01-15,0.5538099570781494,55.38099570781494,0.33323555440651503,1
LN0000234,CUST000028,44,Female,Delhi,Salaried,79890.0,MSME Loan,2202615,1947767,60,14.12,45442.4,701.0,20,0,150,722670,Current,Active,0,0,2020-09-30,2022-04-09,0.5688121166604081,56.88121166604081,0.37102487104463727,0
LN0000467,CUST000333,40,Female,Rajasthan,Salaried,112113.0,Home Loan,5129713,4254732,180,13.41,54985.56,776.0,21,0,45,3687863,Current,Active,0,0,2022-06-29,2024-02-28,0.4904476733295871,49.04476733295871,0.8667674015660681,0
LN0000892,CUST000237,32,Female,Delhi,Salaried,32623.0,Consumer Durable Loan,135821,122020,12,17.62,11164.74,766.0,61,30,30,21132,1-30,Active,0,0,2024-01-07,2028-11-28,0.3422352328112068,34.223523281120684,0.1731847238157679,1
LN0000294,CUST000639,39,Female,Gujarat,Self Employed,21177.0,Vehicle Loan,995694,854626,48,13.32,23063.44,776.0,53,75,75,329901,61-90,Delinquent,0,0,2020-06-17,2024-07-04,1.0,108.90796618973413,0.3860179774544655,1
LN0000899,CUST000334,26,Female,Gujarat,Salaried,96500.0,Personal Loan,146222,96394,18,15.43,6033.04,520.0,46,7,150,20474,1-30,Active,0,0,2023-03-15,2026-11-25,0.06251854922279793,6.251854922279793,0.21239911197792394,1
LN0000733,CUST000501,22,Female,Telangana,salaried,39065.0,Vehicle Loan,536957,474922,48,21.89,14934.58,733.0,20,15,120,254526,1-30,Active,0,0,2021-03-15,2022-10-01,0.382300780750032,38.2300780750032,0.5359322162376138,1
LN0000569,CUST000525,26,Male,Karnataka,Self Employed,30789.0,Home Loan,4148964,3114264,180,15.66,45003.13,688.0,68,60,150,556683,31-60,Delinquent,0,0,2021-12-14,2027-04-17,1.0,146.16626067751469,0.17875266836722897,1
LN0000792,CUST000045,32,Female,Maharashtra,Professional,82605.0,MSME Loan,1569688,1121385,60,10.15,23908.97,653.0,10,7,120,1171385,1-30,Active,0,0,2020-07-01,2021-04-06,0.289437322195993,28.9437322195993,1.044587719650254,1
LN0000767,CUST000151,33,Female,Maharashtra,Salaried,84745.0,Vehicle Loan,1059262,949618,36,15.99,33381.06,721.0,59,75,75,570356,61-90,Delinquent,0,0,2025-07-13,2030-02-24,0.3939000531004779,39.39000531004779,0.6006162477964824,1
LN0000020,CUST000102,31,Female,West Bengal,Salaried,52842.0,Home Loan,8672377,8672377,240,13.63,105520.28,800.0,51,0,0,2172302,Current,Active,0,0,2023-05-29,2027-08-01,1.0,199.6901706975512,0.2504851899312034,0
LN0000937,CUST000227,40,Female,Tamil Nadu,Business,74657.0,MSME Loan,2052427,1613562,24,15.35,78504.8,740.0,42,60,60,953260,31-60,Delinquent,0,0,2023-06-25,2026-09-01,1.0,105.15397082658022,0.5907799018568856,1
LN0000326,CUST000147,47,Male,Delhi,Salaried,71280.0,Personal Loan,684952,429012,12,22.44,40244.02,629.0,65,45,90,296775,31-60,Delinquent,0,0,2023-09-01,2028-10-30,0.5645906285072951,56.45906285072952,0.6917638667449861,1
LN0000791,CUST000063,58,Male,Uttar Pradesh,Business,65541.0,Vehicle Loan,1322969,1214033,60,10.79,26269.05,850.0,16,0,90,150708,Current,Active,0,0,2021-01-16,2022-04-16,0.4008033139561496,40.08033139561496,0.12413830596038164,0
LN0000980,CUST000030,57,Female,Telangana,,50179.0,Vehicle Loan,1260578,1179632,48,18.46,34935.88,763.0,38,45,120,201708,31-60,Delinquent,0,0,2022-11-25,2025-10-19,0.6962251140915522,69.62251140915522,0.17099230946600297,1
LN0000279,CUST000636,30,Male,Madhya Pradesh,Professional,57536.0,Consumer Durable Loan,122175,98025,6,18.28,17219.53,686.0,15,15,120,46668,1-30,Active,0,0,2023-12-11,2025-01-27,0.2992827099555061,29.92827099555061,0.47608263198163736,1
LN0000989,CUST000618,33,male,Tamil Nadu,Employee,22839.0,Home Loan,4817164,4188255,180,24.78,88727.35,760.0,16,-15,15,2165478,Current,Active,0,0,2023-01-13,2024-03-23,1.0,388.4905206007268,0.5170358538341147,0
LN0000522,CUST000538,21,Male,Delhi,salaried,53154.0,Auto Loan,929361,752075,48,14.41,20706.57,781.0,12,120,120,198987,90+,Delinquent,1,1,2025-05-06,2025-12-22,0.38955807653234,38.955807653234,0.26458398431007546,1
